seed,present_match_max_abs,memory_a_rms,memory_b_rms,memory_difference_rms,stationary_baseline_memory_rms,history_delta_a_rms,history_delta_b_rms,history_delta_pair_mismatch_rms,future_separation_relative,reset_memory_separation_relative,feedback_off_separation_relative,rotated_memory_separation_relative,shuffled_memory_separation_relative
20260934,0.0,0.0015962986149039523,0.0016256075933881234,0.0010161458162751312,0.0015288056049836214,0.0005080729081375658,0.0005080729081375653,3.888272061364369e-18,2.0464869646078693e-05,0.0,0.0,4.265542310754379e-05,6.950875081614964e-06
20260935,0.0,0.0015962986149039523,0.0016256075933881234,0.0010161458162751315,0.0015288056049836218,0.0005080729081375658,0.0005080729081375656,4.143780407479035e-18,2.0464869646088048e-05,0.0,0.0,4.265542310752652e-05,6.220493481066849e-06
20260936,0.0,0.0015962986149039523,0.0016256075933881234,0.0010161458162751312,0.0015288056049836218,0.0005080729081375652,0.000508072908137566,3.509330181404931e-18,2.0464869646104714e-05,0.0,0.0,4.265542310752345e-05,6.250462389582319e-06
20260937,0.0,0.0015962986149039525,0.0016256075933881234,0.0010161458162751312,0.0015288056049836223,0.0005080729081375656,0.0005080729081375655,4.021523327406354e-18,2.04648696461119e-05,0.0,0.0,4.265542310753475e-05,8.446196954494794e-06
20260938,0.0,0.0015962986149039523,0.0016256075933881234,0.001016145816275131,0.0015288056049836214,0.0005080729081375656,0.0005080729081375654,3.849280815834588e-18,2.0464869646108153e-05,0.0,0.0,4.2655423107522824e-05,7.476665780885321e-06
20260939,0.0,0.0015962986149039523,0.0016256075933881234,0.0010161458162751312,0.0015288056049836218,0.0005080729081375655,0.0005080729081375656,3.1850087785024135e-18,2.046486964611062e-05,0.0,0.0,4.2655423107542604e-05,7.570264259508248e-06
20260940,0.0,0.001596298614903952,0.0016256075933881234,0.0010161458162751312,0.0015288056049836223,0.0005080729081375655,0.0005080729081375656,3.774716394482994e-18,2.0464869646099056e-05,0.0,0.0,4.265542310752706e-05,7.310998338427789e-06
20260941,0.0,0.001596298614903952,0.0016256075933881234,0.001016145816275131,0.0015288056049836214,0.0005080729081375656,0.0005080729081375655,3.677312548123011e-18,2.0464869646120096e-05,0.0,0.0,4.265542310752326e-05,7.249933237794759e-06
20260942,0.0,0.0015962986149039525,0.0016256075933881236,0.0010161458162751312,0.0015288056049836218,0.0005080729081375656,0.0005080729081375657,3.494139756726832e-18,2.0464869646105368e-05,0.0,0.0,4.2655423107524817e-05,6.8403712356922924e-06
20260943,0.0,0.0015962986149039525,0.0016256075933881236,0.0010161458162751312,0.0015288056049836218,0.0005080729081375657,0.0005080729081375654,3.805295114884383e-18,2.0464869646069457e-05,0.0,0.0,4.265542310750198e-05,6.462946820734715e-06
20260944,0.0,0.0015962986149039523,0.0016256075933881234,0.001016145816275131,0.0015288056049836225,0.0005080729081375655,0.0005080729081375656,4.082167003142838e-18,2.0464869646072825e-05,0.0,0.0,4.265542310751909e-05,7.40149692319866e-06
20260945,0.0,0.0015962986149039523,0.0016256075933881234,0.001016145816275131,0.001528805604983622,0.0005080729081375654,0.0005080729081375656,3.416261028214572e-18,2.046486964605584e-05,0.0,0.0,4.265542310750146e-05,8.008179002154759e-06
20260946,0.0,0.001596298614903952,0.0016256075933881234,0.0010161458162751312,0.0015288056049836218,0.0005080729081375653,0.0005080729081375658,3.7380614821203694e-18,2.0464869646136732e-05,0.0,0.0,4.265542310752296e-05,6.680507484862104e-06
20260947,0.0,0.0015962986149039523,0.0016256075933881234,0.0010161458162751312,0.0015288056049836223,0.0005080729081375656,0.0005080729081375655,3.720934658017749e-18,2.0464869646111016e-05,0.0,0.0,4.2655423107528604e-05,6.211369607303442e-06
